Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Season,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Shelled/Unshelled,Purchase Lot Size,Section or Sale,Import/Export,Supply Tone,Demand Tone,Basis of Sale,Market Tone,Price Comment,Comments,Rpt City
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/20/12,8.5,10.5,8.5,9.5,2012,bchd 18s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/20/12,8,10,8,9,2012,bchd 14s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/21/12,8,10,8,9,2012,bchd 14s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/21/12,8.5,10.5,8.5,9.5,2012,bchd 18s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/22/12,7,9,7.5,7.5,2012,bchd 14s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/22/12,7.5,9.5,8,8,2012,bchd 18s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/23/12,7.5,8,8,8,2012,bchd 18s,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,occasional higher,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/23/12,7,7.5,7.5,7.5,2012,bchd 14s,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,occasional higher,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/26/12,5.5,7.5,,,2012,bchd 18s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,occasional higher,Extra services included.,"PHOENIX, AZ"
BROCCOLI,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,cartons,,,,3/26/12,5,7,,,2012,bchd 14s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",LOWER.,occasional higher,Extra services included.,"PHOENIX, AZ"
