Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Season,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Shelled/Unshelled,Purchase Lot Size,Section or Sale,Import/Export,Supply Tone,Demand Tone,Basis of Sale,Market Tone,Price Comment,Comments,Rpt City
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,cartons,,,,3/22/16,8,11.5,8,10.05,2015,bchd 14s,,,,,,,,,,,,LIGHT.,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED SLIGHTLY LOWER, CROWN CUT LOWER.",,Extra services included. Revised District. Palo Verde Valley shippers finished for the season.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,cartons,,,,3/23/16,7.5,11.5,8,10.05,2015,bchd 14s,,,,,,,,,,,,LIGHT.,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,cartons,,,,3/24/16,7.5,11.5,8.5,10.05,2015,bchd 14s,,,,,,,,,,,,LIGHT.,"BUNCHED FAIRLY LIGHT, CROWN CUT MODERATE.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,cartons,,,,3/25/16,7,10.05,8.5,10.05,2015,bchd 14s,,,,,,,,,,,,LIGHT.,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","CROWN CUT LOWER, BUNCHED ABOUT STEADY.",,Extra services included.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,cartons,,,,3/28/16,,,,,2015,bchd 14s,,,,,,,,,,,,VERY LIGHT.,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,Supplies in too few hands to establish a market.,Extra services included.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,20 lb cartons loose,CROWN CUT,,,3/22/16,10,14.5,11.5,12.5,2015,,,,,,,,,,,,,LIGHT.,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED SLIGHTLY LOWER, CROWN CUT LOWER.",one label 15.55-16.55,Extra services included. Revised District. Palo Verde Valley shippers finished for the season.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,20 lb cartons loose,CROWN CUT,,,3/23/16,10,14.5,11.5,12.5,2015,,,,,,,,,,,,,LIGHT.,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,one label 15.55-16.55,Extra services included.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,20 lb cartons loose,CROWN CUT,,,3/24/16,10,14.5,11.5,12.5,2015,,,,,,,,,,,,,LIGHT.,"BUNCHED FAIRLY LIGHT, CROWN CUT MODERATE.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,one label 15.55-16.55,Extra services included.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,20 lb cartons loose,CROWN CUT,,,3/25/16,8.5,11.55,9.5,10.5,2015,,,,,,,,,,,,,LIGHT.,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","CROWN CUT LOWER, BUNCHED ABOUT STEADY.",,Extra services included.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,20 lb cartons loose,CROWN CUT,,,3/28/16,,,,,2015,,,,,,,,,,,,,VERY LIGHT.,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,LAST REPORT,Extra services included.,"PHOENIX, AZ"
BROCCOLI,IMPERIAL & COACHELLA VALLEY CALIFORNIA,,20 lb cartons loose,CROWN CUT,,,3/28/16,,,,,2015,,,,,,,,,,,,,VERY LIGHT.,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,Supplies in too few hands to establish a market. Lighter shipments expected through April 2.,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/8/15,21.45,25.55,21.45,22.5,2015,bchd 14s,,,,,,,,,,,,LIGHT.,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/8/15,21.95,25.55,21.95,22.5,2015,bchd 18s,,,,,,,,,,,,LIGHT.,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/9/15,20,23,21.45,23,2015,bchd 14s,,,,,,,,,,,,LIGHT.,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,few 25.05-25.55,Extra services included.,"PHOENIX, AZ"
