Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Season,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Shelled/Unshelled,Purchase Lot Size,Section or Sale,Import/Export,Supply Tone,Demand Tone,Basis of Sale,Market Tone,Price Comment,Comments,Rpt City
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/17/14,7,8,7.5,7.55,2014,bchd 18s,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY LOWER.,few 8.50-8.55,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/17/14,6.5,7.5,7,7.05,2014,bchd 14s,,,,,,,,,,,,,FAIRLY LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY LOWER.,few 8.00-8.50,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/18/14,6.75,8.5,6.75,7.55,2014,bchd 18s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED SLIGHTLY LOWER, CROWN CUT LOWER.",,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/18/14,6.25,8,6.25,7.05,2014,bchd 14s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED SLIGHTLY LOWER, CROWN CUT LOWER.",,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/19/14,5.5,8,6.5,7.05,2014,bchd 14s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/19/14,6,8.5,7,7.55,2014,bchd 18s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/22/14,5.5,7.5,6,6.55,2014,bchd 14s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY LOWER.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/22/14,6,8,6.5,7,2014,bchd 18s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY LOWER.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/23/14,6.5,7.95,6.5,7.05,2014,bchd 18s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/23/14,6,7.05,6,6.55,2014,bchd 14s,,,,,,,,,,,,,LIGHT.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/24/14,6.5,7.95,6.5,7.05,2014,bchd 18s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/24/14,6,7.05,6,6.55,2014,bchd 14s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,,Extra services included.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/29/14,7,10.55,8.5,9,2014,bchd 18s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,,Extra services included. Harvest delayed by ice in fields until approximately 11:00 a.m.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/29/14,6.5,10.05,8,8.5,2014,bchd 14s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",,,Extra services included. Harvest delayed by ice in fields until approximately 11:00 a.m.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/30/14,9.45,12.55,9.45,10.5,2014,bchd 18s,,,,,,,,,,,,,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",HIGHER.,,Extra services included. Harvest delayed by ice in fields until approximately 11:00 a.m.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/30/14,8.95,12.05,8.95,10,2014,bchd 14s,,,,,,,,,,,,,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",HIGHER.,,Extra services included. Harvest delayed by ice in fields until approximately 11:00 a.m.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/31/14,8.95,12.05,10,12.05,2014,bchd 14s,,,,,,,,,,,,,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",HIGHER.,,"Extra services included. Harvest heavily curtailed by rain, wet fields and freezing temperatures","PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,12/31/14,9.45,12.55,10.5,12.55,2014,bchd 18s,,,,,,,,,,,,,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",HIGHER.,,"Extra services included. Harvest heavily curtailed by rain, wet fields and freezing temperatures","PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/2/15,12,14,12,13.45,2014,bchd 14s,,,,,,,,,,,,,VERY GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",HIGHER.,previous commitments lower,Extra services included. Harvest curtailed by ice in fields until approximately noon. Many present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/2/15,12.5,14.5,12.5,13.95,2014,bchd 18s,,,,,,,,,,,,,VERY GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",HIGHER.,previous commitments lower,Extra services included. Harvest curtailed by ice in fields until approximately noon. Many present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/5/15,14.5,15.55,,,2014,bchd 18s,,,,,,,,,,,,LIGHT.,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED HIGHER, CROWN CUT SLIGHTLY HIGHER.",previous commitments lower,Extra services included. Wide range in quality. Harvest delayed by ice in fields until approximately 9:30 a.m. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/5/15,14,15.05,,,2014,bchd 14s,,,,,,,,,,,,LIGHT.,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED HIGHER, CROWN CUT SLIGHTLY HIGHER.",previous commitments lower,Extra services included. Wide range in quality. Harvest delayed by ice in fields until approximately 9:30 a.m. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/6/15,15.05,17.45,15.05,15.55,2014,bchd 14s,,,,,,,,,,,,VERY LIGHT.,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED SLIGHTLY HIGHER, CROWN CUT HIGHER.",previous commitments lower,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/6/15,15.55,16.95,15.55,15.95,2014,bchd 18s,,,,,,,,,,,,VERY LIGHT.,GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED SLIGHTLY HIGHER, CROWN CUT HIGHER.",previous commitments lower,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/7/15,18.05,19,,,2014,bchd 14s,,,,,,,,,,,,VERY LIGHT.,EXCEEDS SUPPLY.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",MUCH HIGHER.,few 23.50 previous commitments lower,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/7/15,18.55,19.95,18.55,19.5,2014,bchd 18s,,,,,,,,,,,,VERY LIGHT.,EXCEEDS SUPPLY.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",MUCH HIGHER.,occasional higher,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/8/15,18.55,19.95,18.55,19.5,2014,bchd 18s,,,,,,,,,,,,VERY LIGHT.,EXCEEDS SUPPLY.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",MUCH HIGHER.,,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/8/15,,,,,2014,bchd 14s,,,,,,,,,,,,VERY LIGHT.,EXCEEDS SUPPLY.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",MUCH HIGHER.,supplies insufficient to establish a market,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/9/15,20.55,22.95,,,2014,bchd 18s,,,,,,,,,,,,VERY LIGHT.,EXCEEDS SUPPLY.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",HIGHER.,,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/9/15,20.55,22.45,,,2014,bchd 14s,,,,,,,,,,,,VERY LIGHT.,EXCEEDS SUPPLY.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",HIGHER.,occasional higher,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/12/15,23.55,29.95,23.55,26.95,2014,bchd 18s,,,,,,,,,,,,LIGHT.,EXCEEDS SUPPLY.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY HIGHER.,"few 21.00, few 30.50-31.50",Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/12/15,23.05,29.45,23.05,26.45,2014,bchd 14s,,,,,,,,,,,,LIGHT.,EXCEEDS SUPPLY.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY HIGHER.,"few 20.50, few 30.00-31.00",Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/13/15,23.05,27.45,23.05,26.5,2014,bchd 14s,,,,,,,,,,,,LIGHT.,VERY GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,few 20.50,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/13/15,23.55,27.95,23.55,27,2014,bchd 18s,,,,,,,,,,,,LIGHT.,VERY GOOD.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",ABOUT STEADY.,few 21.00,Extra services included. Wide range in quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/14/15,22.5,25.95,23.55,24.95,2014,bchd 18s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY LOWER.,few 22.00 occasional higher,Extra services included. Wide range in price and quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/14/15,22,25.45,23.05,24.55,2014,bchd 14s,,,,,,,,,,,,,MODERATE.,"Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis",SLIGHTLY LOWER.,few 21.00 occasional higher,Extra services included. Wide range in price and quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
BROCCOLI,"IMPERIAL, COACHELLA & PALO VERDE VALLEYS CALIFORNIA",,cartons,,,,1/15/15,18.95,25.05,22.05,24.55,2014,bchd 18s,,,,,,,,,,,,,"BUNCHED FAIRLY GOOD AT SLIGHTLY LOWER PRICES, OTHERS FAIRLY GOOD.","Sales F.O.B. Shipping Point and/or Delivered Sales, Shipping Point Basis","BUNCHED SLIGHTLY LOWER, OTHERS ABOUT STEADY.",occasional higher,Extra services included. Wide range in price and quality. Most present shipments from prior bookings and/or previous commitments at lower prices.,"PHOENIX, AZ"
